Time,Speed,Label
0.020005001,3.00E-05,0
0.040010003,0.120060015,0
0.060015004,0.240090023,0
0.080020005,0.36012003,0
0.100025006,0.480150038,0
0.120030008,0.600180045,0
0.140035009,0.720210053,0
0.16004001,0.84024006,0
0.180045011,0.960270068,0
0.200050013,1.080300075,0
0.220055014,1.200330083,0
0.240060015,1.32036009,0
0.260065016,1.440390098,0
0.280070018,1.560420105,0
0.300075019,1.680450113,0
0.32008002,1.80048012,0
0.340085021,1.920510128,0
0.360090023,2.040540135,0
0.380095024,2.160570143,0
0.400100025,2.28060015,0
0.420105026,2.400630158,0
0.440110028,2.520660165,0
0.460115029,2.640690173,0
0.48012003,2.76072018,0
0.500125031,2.880750188,0
0.520130033,3.000780195,0
0.540135034,3.120810203,0
0.560140035,3.240700175,0
0.580145036,3.340725181,0
0.600150038,3.440750188,0
0.620155039,3.540775194,0
0.64016004,3.6408002,0
0.660165041,3.740825206,0
0.680170043,3.840850213,0
0.700175044,3.940875219,0
0.720180045,4.040900225,0
0.740185046,4.140925231,0
0.760190048,4.240950238,0
0.780195049,4.340975244,0
0.80020005,4.44100025,0
0.820205051,4.541025256,0
0.840210053,4.641050263,0
0.860215054,4.741075269,0
0.880220055,4.841100275,0
0.900225056,4.941125281,0
0.920230058,5.041150288,0
0.940235059,5.141175294,0
0.96024006,5.2412003,0
0.980245061,5.341225306,0
1.000250063,5.441250313,1
1.020255064,5.541205231,1
1.040260065,5.635804592,1
1.060265066,5.735753172,1
1.080270068,5.830037439,1
1.100275069,5.926369034,1
1.12028007,6.026394041,1
1.140285071,6.126076961,1
1.160290073,6.202075195,1
1.180295074,6.276627326,1
1.200300075,6.348938169,1
1.220305076,6.424957174,1
1.240310078,6.500976179,1
1.260315079,6.576995184,1
1.28032008,6.653014188,1
1.300325081,6.729033193,1
1.320330083,6.805052198,1
1.340335084,6.881012757,1
1.360340085,6.953513977,1
1.380345086,7.024303146,1
1.400350088,7.091583703,1
1.420355089,7.167318188,1
1.44036009,7.240761519,1
1.460365091,7.316728875,1
1.480370093,7.389891591,1
