Time,Speed,Rotation,Position,Translation
0.0200050012503126,2.00050012503089e-05,-1.57079630772919,-200.0000004001,-449.999999999985
0.0400100025006252,0.0800400100025006,-1.57072001149617,-200.001601600399,-449.999999938768
0.0600150037509377,0.160058814703676,-1.57057691290224,-200.004803576855,-449.999999465051
0.0800200050012503,0.238476819204801,-1.57037649007586,-200.009574305285,-449.99999793974
0.100025006251563,0.315294063515879,-1.57012663475131,-200.015881761996,-449.999994502956
0.120030007501875,0.390542571642911,-1.56983403693695,-200.023694563447,-449.999988126808
0.140035008752188,0.464254366471618,-1.56950442414948,-200.032981966053,-449.999977657754
0.160040010002501,0.536460830247562,-1.5691427381168,-200.043713853224,-449.999961850859
0.180045011252813,0.607192704604951,-1.56875326953734,-200.055860722428,-449.999939397659
0.200050012503126,0.676480103382646,-1.5683397628567,-200.069393672539,-449.999908948903
0.220055013753438,0.744352525439456,-1.56790549911665,-200.084284391475,-449.999869133136
0.240060015003751,0.810838867213059,-1.56745336246107,-200.100505144105,-449.999818571871
0.260065016254064,0.875967435022548,-1.56698589425315,-200.118028760435,-449.999755891937
0.280070017504376,0.93976595711974,-1.56650533765681,-200.136828624049,-449.999679735469
0.300075018754689,1.00226159549438,-1.56601367477504,-200.1568786608,-449.999588767933
0.320080020005001,1.06348095743824,-1.56551265790406,-200.178153327755,-449.999481684483
0.340085021255314,1.12345010687311,-1.56500383608062,-200.200627602371,-449.999357214921
0.360090022505626,1.18219457544738,-1.56448857782289,-200.224276971897,-449.999214127477
0.380095023755939,1.23973937340605,-1.5639680907617,-200.249077423011,-449.999051231575
0.400100025006252,1.29610900023878,-1.56344343870708,-200.275005431659,-449.998867379765
0.420105026256564,1.35132745511041,-1.56291555658084,-200.302037953118,-449.998661468932
0.440110027506877,1.40541824707855,-1.56238526355827,-200.330152412251,-449.998432440902
0.460115028757189,1.45840440510247,-1.56185327469537,-200.359326693974,-449.998179282545
0.480120030007502,1.51030848784757,-1.5613202112656,-200.389539133903,-449.997901025457
0.500125031257814,1.56115259328966,-1.56078660998918,-200.420768509202,-449.997596745286
0.520130032508127,1.61095836812312,-1.5602529313058,-200.45299402961,-449.997265560773
0.54013503375844,1.65974701697685,-1.55971956681581,-200.48619532865,-449.996906632569
0.560140035008752,1.70753931144211,-1.55918684599444,-200.520352455014,-449.996519161848
0.580145036259065,1.7543555989159,-1.55865504226652,-200.555445864117,-449.996102388788
0.600150037509377,1.80021581126383,-1.55812437851631,-200.591456409829,-449.995655590938
0.62015503875969,1.84513947330602,-1.55759503209536,-200.628365336361,-449.995178081505
0.640160040010002,1.88914571112972,-1.5570671393825,-200.666154270321,-449.994669207584
0.660165041260315,1.93225326023216,-1.55654079994265,-200.704805212922,-449.994128348361
0.680170042510628,1.97448047349715,-1.55601608032454,-200.744300532354,-449.993554913302
0.70017504376094,2.01584532900872,-1.55549301753261,-200.784622956299,-449.992948340349
0.720180045011253,2.05636543770523,-1.55497162220352,-200.8257555646,-449.992308094132
0.740185046261565,2.09605805087719,-1.55445188151452,-200.867681782077,-449.99163366421
0.760190047511878,2.13494006751189,-1.55393376184728,-200.910385371487,-449.990924563361
0.780195048762191,2.17302804148811,-1.55341721122843,-200.953850426618,-449.990180325907
0.800200050012503,2.21033818862386,-1.55290216156567,-200.998061365533,-449.989400506108
0.820205051262816,2.24688639358021,-1.55238853069627,-201.04300292394,-449.988584676601
0.840210052513128,2.28268821662413,-1.55187622426323,-201.088660148699,-449.987732426919
0.860215053763441,2.31775890025319,-1.55136513743274,-201.135018391458,-449.986843362065
0.880220055013753,2.35211337568505,-1.55085515646534,-201.182063302421,-449.985917101163
0.900225056264066,2.38576626921432,-1.55034616015206,-201.229780824237,-449.984953276173
0.920230057514379,2.41873190843966,-1.54983802112595,-201.278157186011,-449.983951530681
0.940235058764691,2.45102432836373,-1.54933060705816,-201.327178897447,-449.982911518763
0.960240060015004,2.48265727736851,-1.54882378174743,-201.376832743094,-449.981832903915
0.980245061265316,2.51364422306864,-1.54831740611076,-201.427105776718,-449.980715358053
1.00025006251563,2.54399835804521,-1.54781133908268,-201.477985315791,-449.979558560585
1.02025506376594,2.57373260546243,-1.54730543842975,-201.52945893608,-449.978362197549
1.04026006501625,2.60285962456963,-1.54679956148665,-201.58151446636,-449.977125960814
1.06026506626657,2.63139181609092,-1.5462935658195,-201.634139983223,-449.975849547346
1.08027006751688,2.6593413275047,-1.54578730982197,-201.687323806001,-449.974532658533
1.10027506876719,2.68672005821545,-1.54528065324893,-201.741054491786,-449.973174999574
1.1202800700175,2.71353966461981,-1.54477345769247,-201.795320830556,-449.971776278916
1.14028507126782,2.73981156506932,-1.54426558700455,-201.850111840402,-449.970336207751
1.16029007251813,2.76554694473164,-1.54375690767024,-201.905416762843,-449.968854499562
1.18029507376844,2.7907567603527,-1.54324728913538,-201.961225058252,-449.967330869713
1.20030007501875,2.81545174492142,-1.54273660409215,-202.017526401361,-449.965765035093
1.22030507626907,2.83964241223926,-1.54222472872585,-202.074310676865,-449.964156713799
1.24031007751938,2.86333906139647,-1.54171154292577,-202.131567975117,-449.962505624856
1.26031507876969,2.88655178115682,-1.54119693046331,-202.189288587912,-449.960811487982
1.28032008002,2.90929045425291,-1.5406807791397,-202.247463004349,-449.959074023381
1.30032508127032,2.9315647615937,-1.54016298090604,-202.306081906789,-449.957292951581
1.32033008252063,2.95338418638608,-1.53964343195781,-202.365136166888,-449.955467993286
1.34033508377094,2.97475801817236,-1.53912203280621,-202.424616841716,-449.953598869274
